created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Oct 15 10:34:48 +0000 2023;1713503682858488225;"Zaman S1 &amp  merantau, aku sempet punya masalah serius sama perut. Ekstra bgt pokoknya jaga makanan. Even aku makan ayam geprek aja, cabenya minta setengah.  Literally 1 dipotek jd 2.  Sampe diketawain ma masnya &amp  le friend bilang: "Asli, malu gua mah ngajak elu ke sini."  😅";0;1;0;0;in;1210175190098800641;1713503682858488225;chicnlit;https://twitter.com/chicnlit/status/1713503682858488225
Sun Oct 15 10:34:26 +0000 2023;1713503592265707545;"@miaw3005 Baru keturutan ayam geprek doang";0;0;0;0;in;1432048317379219457;1713492946178408919;expensivedeer;https://twitter.com/expensivedeer/status/1713503592265707545
Sun Oct 15 10:28:33 +0000 2023;1713502112322396202;"@tanyarlfes Ayam geprek tapi yg cuma di puk puk";0;1;0;0;in;1650849310056267780;1713501002920608071;nurraaxxxx;https://twitter.com/nurraaxxxx/status/1713502112322396202
Sun Oct 15 10:28:16 +0000 2023;1713502041950331362;"Kmrin makan 2 porsi ayam geprek bang dava trs dpt konsum jhouse yg spicy jg.. ga heran klo diare🧍🏻‍♀️";0;1;0;0;in;1306485651127238656;1713502041950331362;na_nnad;https://twitter.com/na_nnad/status/1713502041950331362
Sun Oct 15 10:20:00 +0000 2023;1713499959658791231;"@convomf ayam geprek";0;0;0;0;in;1656720878074466306;1713499128779661755;labyrunth;https://twitter.com/labyrunth/status/1713499959658791231
Sun Oct 15 10:17:15 +0000 2023;1713499266466148819;"@HukumDan Dari dulu sudah boikot yang namanya Mekdi, Kaefci, Ceefci, mending ayam geprek lokal sepuluh ewu";0;0;0;0;in;811478488544743424;1713444301387227345;ahmad9108001;https://twitter.com/ahmad9108001/status/1713499266466148819
Sun Oct 15 10:16:57 +0000 2023;1713499191736144198;"@kegblgnunfaedh Ya Allah kaya temen SMP ku dulu. Ayahnya dulu pake motor jadul terus dia bilang sama bapaknya kalo mau jemput dipojokan gang aja soalnya dia malu kalo dijemput pake motor itu 😭";0;0;0;0;in;1553280166348017664;1713446651028013508;kentanggeprek98;https://twitter.com/kentanggeprek98/status/1713499191736144198
Sun Oct 15 10:14:44 +0000 2023;1713498633474322855;"Ws! Butuh rekomendasi ayam geprek enak di sekitaran ngaliyan bringin guyss";0;8;0;1;in;1285929609729413120;1713498633474322855;uinwsfess;https://twitter.com/uinwsfess/status/1713498633474322855
Sun Oct 15 10:06:02 +0000 2023;1713496444597158035;"Perkara pengen beli ayam geprek atau kitiaw aja mikirnya sejam nggak kelar kelar 😭";0;2;0;0;in;1284684175476285445;1713496444597158035;hyuckuaci;https://twitter.com/hyuckuaci/status/1713496444597158035
Sun Oct 15 10:03:48 +0000 2023;1713495883034280110;"menurut gua, ayam geprek yg benar adalah ayam geprek yg bisa dimakan menggunakan sendok plastik letoy, alias beneran digeprek";0;0;0;0;in;1655416303539351553;1713495883034280110;asinnotsalty;https://twitter.com/asinnotsalty/status/1713495883034280110
Sun Oct 15 10:01:46 +0000 2023;1713495370431705153;"@hyoerinmaru ayam geprek";0;1;0;0;in;1541394650090467328;1713482270194151730;ayangGeto;https://twitter.com/ayangGeto/status/1713495370431705153
Sun Oct 15 09:58:43 +0000 2023;1713494603691917780;"bjir gak bisa nih gua liat ginian..mmm bjie makin kekar...";0;0;0;0;in;1387676542763864064;1713494603691917780;nafshhmy;https://twitter.com/nafshhmy/status/1713494603691917780
Sun Oct 15 09:56:22 +0000 2023;1713494011380707350;"@fluffmatchaa enak tauuu apalagi kalau sama ayam geprek aku pas bukber sama temen ku makan itu😭😋";0;1;0;0;in;1617454064958312449;1713462040063541657;Nootihoon;https://twitter.com/Nootihoon/status/1713494011380707350
Sun Oct 15 09:54:10 +0000 2023;1713493460593020931;"@rezanudanu @tanyakanrl abis mam ayam geprek dan abis isengin mama";0;0;0;0;in;1256673550603177986;1713161494320554458;gialvnt;https://twitter.com/gialvnt/status/1713493460593020931
Sun Oct 15 09:53:51 +0000 2023;1713493379710140738;"@Zeotgeist ayam geprek??? atau apa yah rice box gitu enak";0;0;0;0;in;1340258729304809475;1713487823700193675;CastleOfAnn;https://twitter.com/CastleOfAnn/status/1713493379710140738
Sun Oct 15 09:53:10 +0000 2023;1713493208091828603;"Tapi di alun - alun karanganyar aku nemu combo makanan favoritku aaa 😭 Nasi goreng + ayam geprek 🥹 please siapapun harus bikin menu ini di sukoharjo biar ga perlu ke alkra kalo lagi bm weei 🥲 https://t.co/6N2DYmcOoI";0;0;0;0;in;1307870953800478720;1713493208091828603;miwmhrnq;https://twitter.com/miwmhrnq/status/1713493208091828603
Sun Oct 15 09:52:08 +0000 2023;1713492946178408919;"pen naspad, siomay, batagor, baso, cuangki, es buah, ayam geprek, es krim, pen mam ini mam itu pen segala 😂";0;5;0;1;in;481230845;1713492946178408919;miaw3005;https://twitter.com/miaw3005/status/1713492946178408919
Sun Oct 15 09:51:41 +0000 2023;1713492833070649609;"Ayam geprek psp dan ayam gepuk pak gembus setiap hari aku ok banget";0;0;0;0;in;1680169419606200322;1713492833070649609;haurra_k;https://twitter.com/haurra_k/status/1713492833070649609
Sun Oct 15 09:49:40 +0000 2023;1713492325417332934;"Nasi kulit ayam jugaa surga dunia banget wei 😭❤️ Kalo bisa nyebutin 3 makanan favorit, ayam geprek di urutan pertama terus abis itu baru nasi ayam kulit &amp  nasi goreng. https://t.co/7YwKxiIYW1";0;0;0;0;in;1307870953800478720;1713492325417332934;miwmhrnq;https://twitter.com/miwmhrnq/status/1713492325417332934
Sun Oct 15 09:48:46 +0000 2023;1713492101730857302;"@tanyakanrl I don't care ! ora urusan karo mekdunaldu  Hidup ayam geprek Bu Rum !";0;0;0;0;in;1508836200;1713142614927794606;ranudimedjo;https://twitter.com/ranudimedjo/status/1713492101730857302
Sun Oct 15 09:47:07 +0000 2023;1713491685014114753;"Comfort food aku ayam geprek. Mungkin bisa tiap hari dan ga bakal bosen mampir ke ayam geprek sai / rocket chicken demi ayam geprek 🥹❤️ https://t.co/bQ8ErxuakS";0;0;0;0;in;1307870953800478720;1713491685014114753;miwmhrnq;https://twitter.com/miwmhrnq/status/1713491685014114753
Sun Oct 15 09:46:04 +0000 2023;1713491420143895024;"rela ngepending makan ayam geprek, malah angst, bjir lah";0;0;0;0;in;1234420430296899584;1713491420143895024;gyuwonnist;https://twitter.com/gyuwonnist/status/1713491420143895024
Sun Oct 15 09:43:55 +0000 2023;1713490878109724946;"@McDonalds_ID AYAM GEPREK AJA UDAH";0;0;0;0;in;1019346210;1708809117090103500;fiestachickenn_;https://twitter.com/fiestachickenn_/status/1713490878109724946
Sun Oct 15 09:40:44 +0000 2023;1713490079589732556;"@convomfs NDER KM DOM MANA SINII SUMPAH mw ayam geprek kantinku KAHHH GOPUD DEH SINIIN ALAMATNYA";0;0;0;0;in;1401471738165137413;1713175600100483422;FUCKwoojuho;https://twitter.com/FUCKwoojuho/status/1713490079589732556
Sun Oct 15 09:33:47 +0000 2023;1713488329977876560;"Ayam geprek rasa ayam keepci karna yg anterin ganteng (brcnda tl srius)";0;0;0;0;in;1695971658769838080;1713488329977876560;seuhanimoon;https://twitter.com/seuhanimoon/status/1713488329977876560
